model,params,mode,prompt,norm,dir,n_files,F1,P,R,TP,FP,FN,TN,induction,outcome,species,fail
Qwen3.5-4B,4,Instruct,v3,none,results/nothink_35/Qwen3.5-4B,267,0.451,0.456,0.445,94,112,117,79,0.858,0.932,0.991,2
Qwen3.5-4B,4,Instruct,v3,hgnc,results_norm/nothink_35/Qwen3.5-4B,267,0.647,0.655,0.64,135,71,76,79,0.865,0.952,0.981,2
Qwen3.5-4B,4,Instruct,v3,jamie,results_jamie/nothink_35/Qwen3.5-4B,267,0.514,0.522,0.507,107,98,104,79,0.863,0.939,0.984,2
Qwen3-8B,8,Instruct,v3,none,results/nothink_8b/Qwen3-8B,267,0.522,0.544,0.502,106,89,105,78,0.798,0.953,0.993,0
Qwen3-8B,8,Instruct,v3,hgnc,results_norm/nothink_8b/Qwen3-8B,267,0.695,0.723,0.668,141,54,70,78,0.821,0.958,0.994,0
Qwen3-8B,8,Instruct,v3,jamie,results_jamie/nothink_8b/Qwen3-8B,267,0.567,0.59,0.545,115,80,96,78,0.817,0.948,0.993,0
Llama-3.1-8B,8,Instruct,v3,none,results/llama31_v3/Llama-3.1-8B-Instruct,267,0.384,0.3,0.531,112,261,99,27,0.802,0.921,0.971,1
Llama-3.1-8B,8,Instruct,v3,hgnc,results_norm/llama31_v3/Llama-3.1-8B-Instruct,267,0.524,0.41,0.725,153,220,58,27,0.8,0.923,0.967,1
Llama-3.1-8B,8,Instruct,v3,jamie,results_jamie/llama31_v3/Llama-3.1-8B-Instruct,267,0.418,0.327,0.578,122,251,89,27,0.828,0.919,0.973,1
Magistral-Small,24,Instruct,v3,none,results/magistral_v3_new/Magistral-Small-2509,267,0.532,0.52,0.545,115,106,96,76,0.836,0.932,0.98,0
Qwen3.6-27B,27,Instruct,v3,none,results/qwen36_v3/Qwen3.6-27B,267,0.592,0.592,0.592,125,86,86,88,0.853,0.945,0.975,0
Qwen3.6-27B,27,Instruct,v3,hgnc,results_norm/qwen36_v3/Qwen3.6-27B,267,0.754,0.754,0.754,159,52,52,88,0.855,0.941,0.975,0
Qwen3.6-27B,27,Instruct,v3,jamie,results_jamie/qwen36_v3/Qwen3.6-27B,267,0.64,0.64,0.64,135,76,76,88,0.865,0.942,0.976,0
Qwen3-8B,8,Thinking,v3,none,results/simple_8b/Qwen3-8B,267,0.598,0.608,0.588,124,80,87,83,0.838,0.941,0.974,0
Qwen3-8B,8,Thinking,v3,hgnc,results_norm/simple_8b/Qwen3-8B,267,0.761,0.775,0.749,158,46,53,83,0.852,0.942,0.969,0
Qwen3-8B,8,Thinking,v3,jamie,results_jamie/simple_8b/Qwen3-8B,267,0.646,0.657,0.635,134,70,77,83,0.846,0.938,0.975,0
Qwen3.6-27B,27,Thinking,v3,none,results/simple_36/Qwen3.6-27B,267,0.526,0.509,0.545,115,111,96,80,0.815,0.936,0.978,0
Qwen3.6-27B,27,Thinking,v3,hgnc,results_norm/simple_36/Qwen3.6-27B,267,0.728,0.704,0.754,159,67,52,80,0.843,0.937,0.973,0
Qwen3-8B,8,Thinking,v5,none,results/v5_think_8b/Qwen3-8B,267,0.677,0.643,0.716,151,84,60,73,0.877,0.934,0.967,0
Qwen3-8B,8,Thinking,v5,hgnc,results_norm/v5_think_8b/Qwen3-8B,267,0.753,0.715,0.796,168,67,43,73,0.871,0.94,0.97,0
Qwen3.5-4B,4,Instruct,v3,cascade,results_cascade/results_norm/nothink_35/Qwen3.5-4B,267,0.705,0.714,0.697,147,59,64,79,0.875,0.95,0.983,2
Qwen3-8B,8,Instruct,v3,cascade,results_cascade/results_norm/nothink_8b/Qwen3-8B,267,0.749,0.779,0.72,152,43,59,78,0.832,0.96,0.995,0
Llama-3.1-8B,8,Instruct,v3,cascade,results_cascade/results_norm/llama31_v3/Llama-3.1-8B-Instruct,267,0.568,0.445,0.787,166,207,45,27,0.81,0.929,0.969,1
Qwen3.6-27B,27,Instruct,v3,cascade,results_cascade/results_norm/qwen36_v3/Qwen3.6-27B,267,0.806,0.806,0.806,170,41,41,88,0.863,0.944,0.976,0
Qwen3.5-4B,4,Instruct,v3,cascade,results_cascade/results_norm/nothink_35/Qwen3.5-4B,267,0.705,0.714,0.697,147,59,64,79,0.875,0.95,0.983,2
Qwen3-8B,8,Instruct,v3,cascade,results_cascade/results_norm/nothink_8b/Qwen3-8B,267,0.749,0.779,0.72,152,43,59,78,0.832,0.96,0.995,0
Llama-3.1-8B,8,Instruct,v3,cascade,results_cascade/results_norm/llama31_v3/Llama-3.1-8B-Instruct,267,0.568,0.445,0.787,166,207,45,27,0.81,0.929,0.969,1
Qwen3.6-27B,27,Instruct,v3,cascade,results_cascade/results_norm/qwen36_v3/Qwen3.6-27B,267,0.806,0.806,0.806,170,41,41,88,0.863,0.944,0.976,0
